"URL","Size","# of Outlinks","Content-Type"
"https://www.latimes.com/espanol/deportes/articulo/2024-02-17/ufc-298-volkanovski-vs-topuria-resultados-y-round-x-round-en-vivo-aqui","277467 Byte","148","text/html"
"https://www.latimes.com/entertainment-arts/music/story/2020-12-10/selena-dreaming-of-you-album-netflix-series","393637 Byte","232","text/html"
"https://www.latimes.com/california/story/2024-02-16/storms-southern-california-presidents-day-week-rain","321965 Byte","211","text/html"
"https://www.latimes.com/espanol/comida","326440 Byte","117","text/html"
"https://www.latimes.com/entertainment-arts/books/story/2024-02-08/cahokia-jazz-francis-spuffords-review","317479 Byte","204","text/html"
"https://www.latimes.com/topic/global-warming","388140 Byte","219","text/html"
"https://www.latimes.com/people/libor-jany","283078 Byte","195","text/html"
"https://www.latimes.com/entertainment-arts/books/story/2024-02-15/scott-guild-plastic-book-album","323962 Byte","206","text/html"
"https://www.latimes.com/food/story/2022-08-25/pijja-palace-silver-lake-review-bill-addison-game-changer","381334 Byte","210","text/html"
"https://www.latimes.com/lifestyle/image/story/2024-02-02/ozzie-juarez-designs-nascar-trophy","325132 Byte","200","text/html"
"https://www.latimes.com/business/story/2023-10-05/this-ai-chatbot-was-trained-using-my-books-but-dont-blame-me-for-its-incredible-stupidity","359639 Byte","229","text/html"
"https://www.latimes.com/food/story/2021-05-16/phenakite-los-angeles-times-restaurant-of-the-year","323090 Byte","219","text/html"
"https://www.latimes.com/world-nation/story/2024-02-06/how-climate-change-contributes-to-wildfires-like-chiles","312294 Byte","207","text/html"
"https://www.latimes.com/brandpublishing/story/2022-03-16/the-art-and-culture-of-ramen-is-built-into-the-bowl-itself","283483 Byte","195","text/html"
"https://www.latimes.com/business/story/2024-02-16/rei-to-close-in-santa-monica-marking-second-move-out-of-a-city-center-this-year","313019 Byte","213","text/html"
"https://www.latimes.com/b2bpublishing/business-announcements/story/2023-05-15/gangnam-station-is-the-ultimate-korean-bbq-restaurant","270209 Byte","187","text/html"
"https://www.latimes.com/environment/story/2023-10-04/what-are-plug-in-hybrid-cars-are-they-good-for-the-planet","386578 Byte","212","text/html"
"https://www.latimes.com/food/story/2021-12-07/11-best-popups-in-los-angeles-right-now","347763 Byte","225","text/html"
"https://www.latimes.com/world-nation/story/2024-02-16/russia-tightens-noose-on-ukraines-city-of-avdiivka-where-outnumbered-defenders-are-holding-out","320674 Byte","205","text/html"
"https://www.latimes.com/food/story/2023-02-02/luyixian-lu-rou-fan-pork-rice-bill-addison-review-alhambra","361734 Byte","211","text/html"
"https://www.latimes.com/california/newsletter/2024-02-18/2024-02-18-your-wedding-venue-shut-down-unexpectedly-now-what-essential-california","328587 Byte","234","text/html"
"https://www.latimes.com/bestcovery/kids-babies","119988 Byte","58","text/html"
"https://www.latimes.com/california/story/2024-01-22/kristin-smart-family-sues-cal-poly-san-luis-obispo-over-killer-paul-flores","327255 Byte","210","text/html"
"https://www.latimes.com/bestcovery/vivo-electric-standing-desk-and-table-top-review","86252 Byte","45","text/html"
"https://www.latimes.com/delos/story/2024-02-01/de-los-latino-poetry-series-gallery","301074 Byte","199","text/html"
"https://www.latimes.com/espanol/educacion","326238 Byte","116","text/html"
